Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Bubble, [Ljava.lang.String;], 1000, Unsorted, -650
Bubble, [Ljava.lang.String;], 1000, Sorted, -750
Insertion, [Ljava.lang.String;], 1000, Unsorted, -750
Insertion, [Ljava.lang.String;], 1000, Sorted, -750
Merge, [Ljava.lang.String;], 1000, Unsorted, -750
Merge, [Ljava.lang.String;], 1000, Sorted, -750
Quick, [Ljava.lang.String;], 1000, Unsorted, -750
Quick, [Ljava.lang.String;], 1000, Sorted, -750
Heap, [Ljava.lang.String;], 1000, Unsorted, -750
Heap, [Ljava.lang.String;], 1000, Sorted, -750
Shell, [Ljava.lang.String;], 1000, Unsorted, 1404850
Shell, [Ljava.lang.String;], 1000, Sorted, 884550
Radix, [Ljava.lang.String;], 1000, Unsorted, 541750
Radix, [Ljava.lang.String;], 1000, Sorted, 849650
Selection, [I], 10000, Unsorted, -250
Selection, [I], 10000, Sorted, -550
Bubble, [I], 10000, Unsorted, -750
Bubble, [I], 10000, Sorted, -750
Insertion, [I], 10000, Unsorted, -750
Insertion, [I], 10000, Sorted, -750
Merge, [I], 10000, Unsorted, -750
Merge, [I], 10000, Sorted, -750
Quick, [I], 10000, Unsorted, -750
Quick, [I], 10000, Sorted, -750
Heap, [I], 10000, Unsorted, -650
Heap, [I], 10000, Sorted, -750
Shell, [I], 10000, Unsorted, 833650
Shell, [I], 10000, Sorted, 138250
Radix, [I], 10000, Unsorted, 469350
Radix, [I], 10000, Sorted, 322850
Selection, [D], 10000, Unsorted, -250
Selection, [D], 10000, Sorted, -350
Bubble, [D], 10000, Unsorted, -650
Bubble, [D], 10000, Sorted, -750
Insertion, [D], 10000, Unsorted, -550
Insertion, [D], 10000, Sorted, -750
Merge, [D], 10000, Unsorted, -650
Merge, [D], 10000, Sorted, -750
Quick, [D], 10000, Unsorted, -750
Quick, [D], 10000, Sorted, -750
Heap, [D], 10000, Unsorted, -650
Heap, [D], 10000, Sorted, -750
Shell, [D], 10000, Unsorted, 1252850
Shell, [D], 10000, Sorted, 216950
Radix, [D], 10000, Unsorted, 3067350
Radix, [D], 10000, Sorted, 3525950
Selection, [Ljava.lang.String;], 10000, Unsorted, 50
Selection, [Ljava.lang.String;], 10000, Sorted, -650
Bubble, [Ljava.lang.String;], 10000, Unsorted, -550
Bubble, [Ljava.lang.String;], 10000, Sorted, -650
Insertion, [Ljava.lang.String;], 10000, Unsorted, -550
Insertion, [Ljava.lang.String;], 10000, Sorted, -650
Merge, [Ljava.lang.String;], 10000, Unsorted, -550
Merge, [Ljava.lang.String;], 10000, Sorted, -650
Quick, [Ljava.lang.String;], 10000, Unsorted, -650
